species name,Sex,Overall appearance: &lt;Colouring&gt;,Length of prosoma [mm],Length of prosoma by range [mm],Length of femur I : &lt;relative to prosoma&gt;,Prosoma: &lt;appearance&gt;,Fovea clearly visible as darkened groove,Opisthosoma: &lt;appearance&gt;,Dorsal spines on femur I: &lt;count&gt;,Posterior eye row: &lt;form&gt;,Posterior median eye (PME) separation: &lt;relative to diameter (d)&gt;,Headregion of male: &lt;appearance&gt;,Eyes: &lt;appearance&gt;,Anterior median eyes: &lt;size relative to anterior lateral eyes ALE&gt;,Prolateral spines on femur I: &lt;count&gt;,Prolateral spines on tibia I: &lt;count&gt;,Anterior cheliceral teeth: &lt;appearance&gt;,Conspicuous structures on chelicerae: &lt;appearance&gt;,Maxillae: &lt;appearance&gt;,Sternum: &lt;appearance&gt;,Sternum: &lt;extends between coxae IV&gt;,Width of sternum between coxae IV: &lt;relative to width of coxae IV (d)&gt;,Position of trichobothrium on metatarsus I (TmI): &lt;relative to metatarsus&gt;,Position of TmI by range: &lt;relative to metatarsus&gt;,Metatarsus IV dorsally: &lt;presence of trichobothrium (TmIV)&gt;,Dorsal spines on metatarsus I: &lt;count&gt;,Tibia IV: &lt;number of dorsal spines&gt;,"Numbers of dorsal spines on tibia I, II, III, IV: &lt;tibial spine formula&gt;",Tibia I-II ventrally: &lt;presence of spines&gt;,Male pedipalp: femur &lt;appearance&gt;,Male pedipalp: patella &lt;appearance&gt;,Male pedipalp: tibia &lt;appearance&gt;,Male pedipalp: cymbium &lt;appearance&gt;,Male pedipalp: paracymbium &lt;form&gt;,Male pedipalp: branches of paracymbium &lt;presence of teeth&gt;,Male pedipalp: embolus &lt;appearance&gt;,Male pedipalp: lamella characteristica &lt;presence&gt;,Distribution,Female palp: claw &lt;presence&gt;,Epigyne: &lt;appearance&gt;,Epigyne: &lt;form&gt;,Epigyne: &lt;seminal receptacles&gt;,Description of any further conspicuous features:
"Centrophantes roeweri W (Wiehle, 1961)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.17,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,one,unremarkable in size,none,unremarkable,smooth,yes,,0.26,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Austria | Slovenia |,not present/inconspicuous,with scape (from anterior margin),protrudes,,
"Ceraticelus bulbosus M (Emerton, 1882)",Male,"inconspicuous, generally dark",0.66,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous; with scutum",none,recurved,distinctly greater than d,complex,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,rugose,yes,distinctly greater than d,0.38,0.30-0.39,trichobothrium absent,none,one dorsal spine,0,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Finland | Germany | Netherlands | Poland | Russia, Eastern | Russia, Northern |",,,,,
"Ceraticelus bulbosus W (Emerton, 1882)",Female,"inconspicuous, generally dark",0.6,0.4-0.6; 0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,equal to d,,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,rugose,yes,distinctly greater than d,0.43,0.40-0.49,trichobothrium absent,none,one dorsal spine,0,no spines,,,,,,,,,"Finland | Germany | Netherlands | Poland | Russia, Eastern | Russia, Northern |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Ceratinella brevipes M (Westring, 1851)",Male,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,no,with scutum,none,procurved,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.43,0.40-0.49,trichobothrium present,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,simple,simple,teeth absent,"conspicuous, curled",absent,"Austria | Belarus | Belgium | Bosnia and Herzegovina | Bulgaria | Czechia | Denmark | Estonia | Faroe Islands | Finland | France | Georgia | Germany | Greece | Hungary | Iceland | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Spain / Balearic Islands | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,
"Ceratinella brevipes W (Westring, 1851)",Female,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.45,0.30-0.39; 0.40-0.49,trichobothrium present,none,one dorsal spine,1111,no spines,,,,,,,,,"Austria | Belarus | Belgium | Bosnia and Herzegovina | Bulgaria | Czechia | Denmark | Estonia | Faroe Islands | Finland | France | Georgia | Germany | Greece | Hungary | Iceland | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Spain / Balearic Islands | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Ceratinella brevis M (Wider, 1834)",Male,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,no,with scutum,none,procurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.44,0.40-0.49,trichobothrium present,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Albania | Armenia | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Croatia | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Georgia | Germany | Greece | Hungary | Ireland | Italy | Kosovo | Latvia | Liechtenstein | Lithuania | Luxembourg | Moldova | Montenegro | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",,,,,
"Ceratinella brevis W (Wider, 1834)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,no,with scutum,none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.45,0.40-0.49,trichobothrium present,none,one dorsal spine,1111,no spines,,,,,,,,,"Albania | Armenia | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Croatia | Czechia | Denmark | Estonia | Finland | France | France / Corsica | Georgia | Germany | Greece | Hungary | Ireland | Italy | Kosovo | Latvia | Liechtenstein | Lithuania | Luxembourg | Moldova | Montenegro | Netherlands | North Macedonia | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Kaliningrad Region | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Ceratinella major M Kulczynski, 1894",Male,"inconspicuous, generally dark",0.89,0.8-1.0,shorter than prosoma,inconspicuous,yes,with scutum,none,straight,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.42,0.40-0.49,trichobothrium present,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Albania | Austria | Bulgaria | Czechia | Germany | Hungary | Latvia | Montenegro | North Macedonia | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Ukraine |",,,,,
"Ceratinella major W Kulczynski, 1894",Female,"inconspicuous, generally dark",0.95,0.8-1.0,shorter than prosoma,inconspicuous,yes,with scutum,none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.41,0.40-0.49,trichobothrium present,none,one dorsal spine,1111,no spines,,,,,,,,,"Albania | Austria | Bulgaria | Czechia | Germany | Hungary | Latvia | Montenegro | North Macedonia | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Western | Serbia | Slovakia | Slovenia | Sweden | Ukraine |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Ceratinella rotunda M (Menge, 1868)",Male,"inconspicuous, generally dark",0.62,0.6-0.8,shorter than prosoma,inconspicuous,yes,with scutum,none,straight,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.41,0.40-0.49,trichobothrium present,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,simple,simple,teeth absent,"conspicuous, curled",absent,,,,,,
"Ceratinella scabrosa M (O. P.-Cambridge, 1871)",Male,"inconspicuous, generally dark",0.87,0.8-1.0,shorter than prosoma,inconspicuous,no,with scutum,none,procurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.37,0.30-0.39,trichobothrium present,none,one dorsal spine,0,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,"Armenia | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Georgia | Germany | Greece | Hungary | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",,,,,
"Ceratinella scabrosa W (O. P.-Cambridge, 1871)",Female,"inconspicuous, generally dark",0.78,0.6-0.8,shorter than prosoma,inconspicuous,no,with scutum,none,procurved,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.4,0.40-0.49,trichobothrium present,none,one dorsal spine,1111,no spines,,,,,,,,,"Armenia | Austria | Azerbaijan | Belarus | Belgium | Bulgaria | Czechia | Denmark | Estonia | Finland | France | Georgia | Germany | Greece | Hungary | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Netherlands | Northern Ireland | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Southern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Turkey (Asia) | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Ceratinella wideri M (Thorell, 1871)",Male,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,yes,with scutum,none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.31,0.30-0.39,trichobothrium present,none,one dorsal spine,0,no spines,unremarkable,unremarkable,with simple apophysis,simple,simple,teeth absent,"conspicuous, curled",absent,"Belarus | Bulgaria | Czechia | Finland | France | Germany | Italy | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Slovakia | Sweden | Ukraine |",,,,,
"Ceratinella wideri W (Thorell, 1871)",Female,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,yes,with scutum,none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.31,0.30-0.39,trichobothrium present,none,one dorsal spine,1111,no spines,,,,,,,,,"Belarus | Bulgaria | Czechia | Finland | France | Germany | Italy | Norway | Poland | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Slovakia | Sweden | Ukraine |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Cinetata gradata M (Simon, 1881)",Male,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly greater than d,with lobe (simple); with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.59,0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,unremarkable,unremarkable,"with multiple, complex apophyses",margin with notches/bulges,simple,teeth absent,"conspicuous, curled",absent,Austria | Belgium | Bulgaria | Czechia | France | Georgia | Germany | Greece | Italy | Montenegro | Poland | Serbia | Slovakia | Slovenia | Spain | Switzerland |,,,,,Prosoma with a hump
"Cinetata gradata W (Simon, 1881)",Female,"inconspicuous, generally dark",0.6,0.4-0.6; 0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly greater than d,0.62,0.60-0.69,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Austria | Belgium | Bulgaria | Czechia | France | Georgia | Germany | Greece | Italy | Montenegro | Poland | Serbia | Slovakia | Slovenia | Spain | Switzerland |,not present/inconspicuous,unremarkable,flat,"underlying structures (e.g., seminal receptacles) visible","Leg segment blackish, darkened"
"Cnephalocotes obscurus M (Blackwall, 1834)",Male,"inconspicuous, generally dark",0.8,0.6-0.8; 0.8-1.0,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,sulci present; with lobe (simple),normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,rugose,yes,distinctly greater than d,0.42,0.40-0.49,trichobothrium absent,none,one dorsal spine,1111,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations,simple,teeth absent,"conspicuous, curled",absent,"Austria | Belarus | Belgium | Croatia | Czechia | Denmark | Estonia | Finland | France | Germany | Iceland | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",,,,,Prosoma shagreened
"Cnephalocotes obscurus W (Blackwall, 1834)",Female,"inconspicuous, generally dark",0.75,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,procurved,equal to d,,normal,about the same as ALE,none,none,unremarkable in size,none,unremarkable,rugose,yes,distinctly greater than d,0.36,0.30-0.39,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,"Austria | Belarus | Belgium | Croatia | Czechia | Denmark | Estonia | Finland | France | Germany | Iceland | Ireland | Italy | Latvia | Liechtenstein | Lithuania | Luxembourg | Montenegro | Netherlands | Northern Ireland | Norway | Poland | Portugal | Romania | Russia, Central | Russia, Eastern | Russia, Northern | Russia, Western | Serbia | Slovakia | Slovenia | Spain | Sweden | Switzerland | Ukraine | United Kingdom |",not present/inconspicuous,unremarkable; with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",Prosoma shagreened
"Collinsia caliginosa M (L. Koch, 1879)",Male,"inconspicuous, generally dark",0.82,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none; apophyses/teeth-like processes/tubercles,unremarkable,smooth,yes,equal to d,0.5,0.50-0.59,trichobothrium absent,none,one dorsal spine,2221,no spines,unremarkable,unremarkable,with complex apophysis,with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Russia, Eastern |",,,,,
"Collinsia caliginosa W (L. Koch, 1879)",Female,"inconspicuous, generally dark",0.9,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.4,0.40-0.49,trichobothrium absent,none,one dorsal spine,2221,no spines,,,,,,,,,"Russia, Eastern |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Collinsia caliginosa nemenziana M Thaler, 1980",Male,"inconspicuous, generally dark",0.91,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,about the same as ALE,none,none,unremarkable in size,none; apophyses/teeth-like processes/tubercles,unremarkable,smooth,yes,equal to d,0.47,0.40-0.49,trichobothrium absent,none,one dorsal spine,2221,no spines,unremarkable,unremarkable,with complex apophysis,with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Austria | Russia, Northern |",,,,,
"Collinsia despaxi M (Denis, 1950)",Male,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.32,0.30-0.39,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,with simple apophysis,margin with notches/bulges,simple,teeth absent,unremarkable,absent,France | Spain |,,,,,
"Collinsia despaxi W (Denis, 1950)",Female,"inconspicuous, generally dark",0.7,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.39,0.30-0.39; 0.40-0.49,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,France | Spain |,not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Collinsia distincta M (Simon, 1884)",Male,"inconspicuous, generally dark",1.07,1.0-1.2,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,apophyses/teeth-like processes/tubercles,unremarkable,smooth,yes,distinctly less than d,0.44,0.40-0.49,trichobothrium absent,none,one dorsal spine,2221,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Austria | Belgium | Czechia | France | Germany | Italy | Netherlands | Poland | Russia, Central | Russia, Eastern | Russia, Northern | Slovakia | Ukraine | United Kingdom |",,,,,
"Collinsia distincta W (Simon, 1884)",Female,"inconspicuous, generally dark",1.05,1.0-1.2,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.41,0.40-0.49,trichobothrium absent,none,one dorsal spine,2221,no spines,,,,,,,,,"Austria | Belgium | Czechia | France | Germany | Italy | Netherlands | Poland | Russia, Central | Russia, Eastern | Russia, Northern | Slovakia | Ukraine | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Collinsia holmgreni M (Thorell, 1871)",Male,"inconspicuous, generally dark",0.95,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.6,0.60-0.69,trichobothrium absent,none,one dorsal spine,2221,no spines,unremarkable,unremarkable,with complex apophysis,margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Faroe Islands | Finland | France | Iceland | Liechtenstein | Norway | Russia, Northern | Russia, Novaya Zemlya | Svalbard | Sweden | United Kingdom |",,,,,
"Collinsia holmgreni W (Thorell, 1871)",Female,"inconspicuous, generally dark",0.95,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.59,0.50-0.59,trichobothrium absent,none,one dorsal spine,2221,no spines,,,,,,,,,"Faroe Islands | Finland | France | Iceland | Liechtenstein | Norway | Russia, Northern | Russia, Novaya Zemlya | Svalbard | Sweden | United Kingdom |",not present/inconspicuous,with septum/medial structure,protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Collinsia inerrans M (O. P.-Cambridge, 1885)",Male,"inconspicuous, generally dark",0.86,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.44,0.40-0.49,trichobothrium absent,none,one dorsal spine,2221,no spines,unremarkable,unremarkable,with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Austria | Azerbaijan | Belgium | Czechia | France | Germany | Hungary | Ireland | Italy | Luxembourg | Netherlands | Norway | Poland | Russia, Eastern | Slovakia | Slovenia | Spain | Sweden | Switzerland | United Kingdom |",,,,,
"Collinsia inerrans W (O. P.-Cambridge, 1885)",Female,"inconspicuous, generally dark",0.85,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.44,0.40-0.49,trichobothrium absent,none,one dorsal spine,2221,no spines,,,,,,,,,"Austria | Azerbaijan | Belgium | Czechia | France | Germany | Hungary | Ireland | Italy | Luxembourg | Netherlands | Norway | Poland | Russia, Eastern | Slovakia | Slovenia | Spain | Sweden | Switzerland | United Kingdom |",not present/inconspicuous,with lateral plates,protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Collinsia spetsbergensis M (Thorell, 1871)",Male,"inconspicuous, generally dark",0.9,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.55,0.50-0.59,trichobothrium absent,none,one dorsal spine,2221,no spines,unremarkable,unremarkable,with simple apophysis,margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Iceland | Norway | Russia, Franz Jozef Land | Russia, Northern | Russia, Novaya Zemlya | Svalbard | Sweden |",,,,,
"Collinsia spetsbergensis W (Thorell, 1871)",Female,"inconspicuous, generally dark",0.86,0.8-1.0,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,equal to d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.62,0.60-0.69,trichobothrium absent,none,one dorsal spine,2221,no spines,,,,,,,,,"Iceland | Norway | Russia, Franz Jozef Land | Russia, Northern | Russia, Novaya Zemlya | Svalbard | Sweden |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
"Cresmatoneta mutinensis M (Canestrini, 1868)",Male,"inconspicuous, generally dark",1.6,1.4-1.6; 1.6-1.8,longer than prosoma,with pits (dorsally),yes,patterned,none,straight,equal to d,with lobe (simple),normal,distinctly smaller than ALE,none,one,unremarkable in size,apophyses/teeth-like processes/tubercles,unremarkable,rugose; pitted,yes,distinctly less than d,0.26,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with one or more spines,margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Bulgaria | Croatia | Cyprus | France | France / Corsica | Georgia | Greece | Greece / Crete | Italy | Italy / Sardinia | Italy / Sicily | Montenegro | North Macedonia | Romania | Russia, Southern | Serbia | Slovenia | Spain | Switzerland | Turkey (Asia) | Turkey (Europe) | Ukraine |",,,,,"Prosoma &quot;stalked&quot;, chelicerae and palpal femur strikingly long"
"Cresmatoneta mutinensis W (Canestrini, 1868)",Female,"inconspicuous, generally dark",1.7,1.6-1.8,longer than prosoma,with pits (dorsally),yes,patterned,none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,one,unremarkable in size,apophyses/teeth-like processes/tubercles,unremarkable,rugose; pitted,yes,distinctly less than d,0.23,0.20-0.29,trichobothrium absent,none,two dorsal spines,2222,no spines,,,,,,,,,"Bulgaria | Croatia | Cyprus | France | France / Corsica | Georgia | Greece | Greece / Crete | Italy | Italy / Sardinia | Italy / Sicily | Montenegro | North Macedonia | Romania | Russia, Southern | Serbia | Slovenia | Spain | Switzerland | Turkey (Asia) | Turkey (Europe) | Ukraine |",conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible","Prosoma &quot;stalked&quot;, chelicerae strikingly long"
"Crosbyarachne silvestris M (Georgescu, 1973)",Male,"inconspicuous, generally dark",0.65,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,procurved,distinctly greater than d,sulci present,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.53,0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,unremarkable,unremarkable,"with multiple, simple apophyses",simple,complex,teeth present,unremarkable,absent,Austria | Bulgaria | Greece | Italy | Montenegro | North Macedonia | Romania | Serbia | Slovenia |,,,,,
"Crosbyarachne silvestris W (Georgescu, 1973)",Female,"inconspicuous, generally dark",0.61,0.6-0.8,shorter than prosoma,inconspicuous,no,"unicolorous, inconspicuous",none,procurved,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.52,0.50-0.59,trichobothrium absent,none,one dorsal spine,1111,no spines,,,,,,,,,Austria | Bulgaria | Greece | Italy | Montenegro | North Macedonia | Romania | Serbia | Slovenia |,not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) visible",
"Dactylopisthes digiticeps M (Simon, 1881)",Male,"inconspicuous, generally dark",0.63,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,recurved,distinctly less than d,complex; with horns/tufts,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.5,0.50-0.59,trichobothrium absent,none,one dorsal spine,2211,no spines,unremarkable,unremarkable,with simple apophysis,margin with notches/bulges,simple,teeth absent,unremarkable,absent,"Austria | Cyprus | France | Greece | Romania | Russia, Eastern | Serbia | Turkey (Asia) | Ukraine |",,,,,
"Dactylopisthes digiticeps W (Simon, 1881)",Female,"inconspicuous, generally dark",0.68,0.6-0.8,shorter than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,straight,distinctly less than d,,normal,distinctly smaller than ALE,none,none,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.51,0.50-0.59,trichobothrium absent,none,one dorsal spine,2211,no spines,,,,,,,,,"Austria | Cyprus | France | Greece | Romania | Russia, Eastern | Serbia | Turkey (Asia) | Ukraine |",not present/inconspicuous,with septum/medial structure,flat,"underlying structures (e.g., seminal receptacles) not visible",
